COUNTRY,DATE,HOUR,CITY,ZONE,CONNECTED_RT,ORDERS,EARNINGS,PRECIPITATION_MM
Mexico,2024-04-01,0,Monterrey,Centro,7,5,270.1,0.0
Mexico,2024-04-01,0,Monterrey,Mitras Centro,5,4,191.0,0.0
Mexico,2024-04-01,0,Monterrey,Apodaca Centro,6,5,298.0,0.0
Mexico,2024-04-01,0,Monterrey,Escobedo,4,3,161.7,0.0
Mexico,2024-04-01,0,Monterrey,Carretera Nacional,1,2,118.5,0.0
Mexico,2024-04-01,0,Monterrey,MTY_Apodaca_Huinalá,8,6,345.0,0.0
Mexico,2024-04-01,0,Monterrey,San Nicolás,7,4,212.8,0.0
Mexico,2024-04-01,0,Monterrey,Santa Catarina,8,7,319.7,0.0
Mexico,2024-04-01,0,Monterrey,San Pedro,6,5,245.7,0.0
Mexico,2024-04-01,0,Monterrey,Cumbres Poniente,1,2,113.2,0.0
Mexico,2024-04-01,0,Monterrey,La Fe,1,1,48.0,0.0
Mexico,2024-04-01,0,Monterrey,MTY_Guadalupe,12,9,448.9,0.0
Mexico,2024-04-01,0,Monterrey,Independencia,8,8,422.7,0.0
Mexico,2024-04-01,0,Monterrey,Tec,1,2,99.4,0.0
Mexico,2024-04-01,1,Monterrey,Centro,5,5,277.1,0.0
Mexico,2024-04-01,1,Monterrey,Mitras Centro,6,5,291.9,0.0
Mexico,2024-04-01,1,Monterrey,Apodaca Centro,8,5,225.0,0.0
Mexico,2024-04-01,1,Monterrey,Escobedo,2,4,187.2,0.0
Mexico,2024-04-01,1,Monterrey,Carretera Nacional,7,8,445.5,0.0
Mexico,2024-04-01,1,Monterrey,MTY_Apodaca_Huinalá,3,5,272.6,0.0
Mexico,2024-04-01,1,Monterrey,San Nicolás,5,5,243.2,0.0
Mexico,2024-04-01,1,Monterrey,Santa Catarina,8,8,430.9,0.0
Mexico,2024-04-01,1,Monterrey,San Pedro,2,2,100.5,0.0
